;2013;2014;2015;2016;2017;2018
user115;;0.0;0.0;0.0;0.0;0.13205678441729946
user116;;0.0;0.0;0.4464285714285714;0.0;0.0
user117;;0.0;0.4587155963302753;0.28368794326241137;0.0;4.545454545454546
user118;0.0;0.0;0.2958579881656805;0.0;0.0;0.3460207612456748
user119;;0.0;0.0;0.6134969325153374;1.3143483023001097;0.2482621648460775
user120;;;0.0;1.818181818181818;;
user121;;0.0;0.0;1.6949152542372878;0.796812749003984;1.4814814814814816
user122;0.0;0.0;0.0;0.0;0.0;0.0
user123;;0.0;0.0;;0.8333333333333334;
user124;0.0;0.09041591320072333;0.0;0.0;;
user125;1.4492753623188406;0.0;0.0;2.7397260273972597;0.0;0.0
user126;;;0.0;0.0;0.0;0.4807692307692308
user127;;2.898550724637681;0.0;;;
user128;;;0.0;0.09523809523809523;0.0;0.0
user129;;0.0;0.7936507936507936;0.0;0.0;
user130;;0.0;3.4482758620689653;0.0;0.5;0.0
user131;;0.0;0.0;0.0;0.398406374501992;0.0
user132;;0.0;0.5154639175257731;0.0;0.591715976331361;0.0
user133;;;0.0;1.6;0.0;0.0
user134;;0.5571030640668524;1.1494252873563218;0.0;0.5102040816326531;
user135;0.0;0.0;0.0;0.9090909090909092;0.0;0.0
user136;0.0;0.0;0.3154574132492113;0.0;0.0;0.0
user137;;0.0;0.3067484662576687;1.3157894736842104;0.0;0.0
user138;0.0;0.5780346820809248;0.0;0.0;;0.0
user139;;0.0;0.3012048192771085;1.4492753623188406;0.0;0.0
user140;0.0;0.199203187250996;0.0;0.0;0.0;0.0
user141;;0.0;0.0;0.3021148036253776;0.2188183807439825;0.5628517823639775
user142;0.0;0.0;0.2277904328018223;1.276595744680851;0.0;0.0
user143;;0.0;0.0;0.0;0.19342359767891684;0.17857142857142858
user144;0.0;0.0;0.2178649237472767;0.0;0.0;0.0
user145;;0.0;0.3690036900369004;0.18867924528301888;0.3053435114503817;0.0
user146;;0.0;0.0;0.0;0.0;2.7989821882951653
user147;;0.0;0.0;0.0;0.0;0.2976190476190476
user148;0.0;0.17543859649122806;0.8620689655172413;0.0;0.0;0.0
user149;0.0;1.2012012012012012;0.5747126436781609;0.46875;1.6997167138810199;0.4629629629629629
user150;0.0;1.1494252873563218;2.5787965616045847;0.5555555555555556;1.4084507042253522;0.0
user151;;0.0;0.0;0.0;0.4201680672268908;0.0
user152;;0.0;0.0;3.8461538461538463;0.0;0.0
user153;0.19011406844106465;0.0;0.0;0.0;0.0;0.0
user154;0.0;0.0;0.78125;0.0;;
user155;;1.4285714285714286;0.0;0.0;0.0;
user156;0.99009900990099;0.0;0.0;0.0;0.0;
user157;0.0;0.0;2.9411764705882346;0.0;0.0;0.0
user158;;0.0;0.0;2.4390243902439024;0.4500450045004501;0.5698005698005698
user159;0.21489971346704875;0.0;0.0;0.0;;
user160;0.0;0.0;5.882352941176469;0.0;0.0;3.8461538461538463
user161;;0.0;0.6097560975609756;0.2958579881656805;0.0;0.0
user162;0.0;0.0;0.0;0.0;0.0;1.2903225806451613
user163;0.0;0.0;0.0;0.0;0.0;0.0
user164;;0.0;0.13089005235602094;0.0;0.5376344086021506;0.4796163069544364
user165;0.19685039370078736;0.0;0.0;0.0;0.0;0.0
user166;;0.117096018735363;0.0;0.0;0.0;0.0
user167;;0.0;0.0;0.0;0.2751031636863824;0.199203187250996
user168;;;0.0;0.0;0.0;0.3253796095444685
user169;;0.0;0.04651162790697674;0.0;0.0;33.33333333333333
user170;;0.0;0.0;0.4716981132075472;0.0;0.3690036900369004
user171;;0.0;0.0;0.3164556962025317;0.0;0.0
user172;0.0;1.0101010101010102;0.0;0.0;0.0;0.0
user173;;0.1724137931034483;0.0;0.0;0.0;0.0
user174;0.0;;0.0;0.0;0.0;0.0
